turn,time_sigma_ns,Q1
0,21.411318885490875,-0.0034822633364599213
1,21.411318456399837,-0.0034822771571996
2,21.411318119189456,-0.0034822867970456996
3,21.411317873859264,-0.00348229225605378
4,21.41131772040875,-0.0034822935342809836
5,21.411317658837373,-0.0034822906317861202
6,21.41131768914455,-0.0034822835486295546
7,21.41131781132967,-0.0034822722848728825
8,21.411318025392085,-0.003482256840579457
9,21.411318331331117,-0.00348223721581404
10,21.41131872914604,-0.0034822134106429346
11,21.411319218836102,-0.003482185425134069
12,21.411319800400516,-0.0034821532593567964
13,21.411320473838458,-0.0034821169133818714
14,21.41132123914907,-0.0034820763872817125
15,21.411322096331457,-0.0034820316811304316
16,21.411323045384684,-0.003481982795003344
17,21.411324086307797,-0.003481929728977347
18,21.411325219099798,-0.003481872483130799
19,21.41132644375964,-0.0034818110575440485
20,21.411327760286255,-0.0034817454522985385
21,21.411329168678545,-0.0034816756674772124
22,21.411330668935367,-0.00348160170316467
23,21.411332261055527,-0.0034815235594472106
24,21.41133394503784,-0.00348144123641228
25,21.411335720881045,-0.003481354734148975
26,21.411337588583876,-0.003481264052747801
27,21.411339548145,-0.0034811691923012406
28,21.41134159956307,-0.003481070152902864
29,21.4113437428367,-0.00348096693464786
30,21.411345977964462,-0.0034808595376332172
31,21.411348304944905,-0.003480747961956936
32,21.41135072377654,-0.003480632207718689
33,21.41135323445784,-0.0034805122750197898
34,21.411355836987244,-0.0034803881639631244
35,21.411358531363145,-0.003480259874653112
36,21.411361317583918,-0.003480127407195478
37,21.411364195647884,-0.0034799907616977366
38,21.411367165553354,-0.0034798499382686005
39,21.411370227298587,-0.0034797049370183905
40,21.411373380881805,-0.0034795557580591593
41,21.4113766263012,-0.0034794024015043427
42,21.41137996355493,-0.0034792448674690157
43,21.41138339264111,-0.003479083156069473
44,21.411386913557838,-0.003478917267423728
45,21.41139052630315,-0.003478747201651345
46,21.41139423087508,-0.003478572958873302
47,21.41139802727159,-0.0034783945392121767
48,21.41140191549063,-0.00347821194279215
49,21.411405895530123,-0.00347802516973847
50,21.41140996738794,-0.003477834220178403
51,21.41141413106191,-0.0034776390942405306
52,21.411418386549844,-0.0034774397920551876
53,21.41142273384952,-0.003477236313753699
54,21.411427172958653,-0.0034770286594694015
55,21.411431703874968,-0.0034768168293368776
56,21.41143632659611,-0.0034766008234925123
57,21.411441041119716,-0.003476380642073756
58,21.411445847443375,-0.003476156285220105
59,21.411450745564647,-0.003475927753072132
60,21.411455735481066,-0.003475695045772006
61,21.41146081719012,-0.0034754581634633963
62,21.411465990689255,-0.003475217106291953
63,21.411471255975886,-0.0034749718744042967
64,21.41147661304741,-0.003474722467948595
65,21.411482061901165,-0.0034744688870748867
66,21.411487602534468,-0.003474211131934492
67,21.411493234944594,-0.0034739492026802416
68,21.4114989591288,-0.0034736830994662347
69,21.411504775084275,-0.003473412822448695
70,21.411510682808203,-0.0034731383717849667
71,21.411516682297723,-0.0034728597476338195
72,21.41152277354993,-0.003472576950155895
73,21.411528956561895,-0.0034722899795129117
74,21.411535231330657,-0.003471998835868397
75,21.411541597853205,-0.0034717035193874137
76,21.41154805612651,-0.0034714040302362926
77,21.411554606147494,-0.0034711003685830755
78,21.41156124791305,-0.0034707925345973754
79,21.411567981420045,-0.0034704805284498305
80,21.411574806665293,-0.003470164350313258
81,21.411581723645572,-0.003469844000361882
82,21.41158873235765,-0.003469519478770822
83,21.41159583279824,-0.0034691907857173888
84,21.41160302496402,-0.0034688579213801134
85,21.411610308851646,-0.0034685208859390414
86,21.411617684457724,-0.0034681796795757052
87,21.411625151778825,-0.00346783430247349
88,21.411632710811503,-0.0034674847548167775
89,21.411640361552255,-0.0034671310367917828
90,21.411648103997564,-0.0034667731485860023
91,21.411655938143852,-0.003466411090388835
92,21.41166386398754,-0.003466044862390605
93,21.41167188152497,-0.003465674464783858
94,21.4116799907525,-0.0034652998977620186
95,21.411688191666407,-0.003464921161520404
96,21.41169648426296,-0.003464538256255667
97,21.41170486853839,-0.003464151182166004
98,21.41171334448888,-0.0034637599394512697
99,21.41172191211059,-0.003463364528312613
100,21.411730571399637,-0.003462964948952774
101,21.411739322352123,-0.0034625612015758704
102,21.411748164964084,-0.0034621532863877875
103,21.41175709923155,-0.0034617412035957275
104,21.411766125150493,-0.0034613249534084494
105,21.411775242716867,-0.003460904536036223
106,21.41178445192658,-0.0034604799516909494
107,21.4117937527755,-0.0034600512005859238
108,21.41180314525948,-0.0034596182829358555
109,21.41181262937432,-0.003459181198957031
110,21.411822205115804,-0.003458739948867317
111,21.411831872479652,-0.0034582945328862124
112,21.411841631461574,-0.0034578449512342657
113,21.411851482057237,-0.003457391204133976
114,21.41186142426227,-0.0034569332918092974
115,21.411871458072273,-0.0034564712144853475
116,21.411881583482806,-0.003456004972389134
117,21.411891800489403,-0.0034555345657488624
118,21.411902109087542,-0.0034550599947946294
119,21.411912509272693,-0.003454581259757691
120,21.411923001040268,-0.003454098360870935
121,21.411933584385658,-0.0034536112983688996
122,21.411944259304217,-0.0034531200724872086
123,21.411955025791258,-0.0034526246834635332
124,21.411965883842072,-0.003452125131536512
125,21.411976833451895,-0.0034516214169467707
126,21.411987874615942,-0.0034511135399362095
127,21.411999007329392,-0.0034506015007482204
128,21.41201023158739,-0.003450085299627653
129,21.41202154738505,-0.0034495649368209117
130,21.41203295471742,-0.003449040412576224
131,21.412044453579558,-0.0034485117271427774
132,21.412056043966466,-0.0034479788807714983
133,21.412067725873104,-0.003447441873714959
134,21.41207949929441,-0.003446900706226969
135,21.412091364225276,-0.0034463553785631304
136,21.412103320660588,-0.0034458058909799883
137,21.41211536859515,-0.0034452522437363763
138,21.412127508023758,-0.0034446944370922538
139,21.41213973894117,-0.003444132471309124
140,21.412152061342113,-0.003443566346649831
141,21.41216447522128,-0.0034429960633788064
142,21.41217698057332,-0.0034424216217620682
143,21.412189577392848,-0.003441843022067203
144,21.412202265674456,-0.0034412602645628853
145,21.412215045412694,-0.003440673349519679
146,21.412227916602063,-0.003440082277209796
147,21.412240879237054,-0.003439487047906502
148,21.41225393331211,-0.0034388876618848107
149,21.41226707882164,-0.003438284119421163
150,21.41228031576001,-0.0034376764207936306
151,21.41229364412157,-0.003437064566281621
152,21.412307063900624,-0.003436448556166009
153,21.412320575091435,-0.003435828390729523
154,21.41233417768825,-0.003435204070255871
155,21.41234787168526,-0.0034345755950306775
156,21.412361657076634,-0.003433942965340833
157,21.412375533856494,-0.003433306181474965
158,21.412389502018947,-0.0034326652437229065
159,21.412403561558055,-0.003432020152376148
160,21.412417712467832,-0.003431370907727751
161,21.41243195474228,-0.003430717510071942
162,21.412446288375357,-0.0034300599597048335
163,21.41246071336098,-0.0034293982569239497
164,21.412475229693037,-0.0034287324020280553
165,21.41248983736538,-0.003428062395317687
166,21.412504536371816,-0.0034273882370950775
167,21.41251932670615,-0.0034267099276632735
168,21.412534208362107,-0.0034260274673274965
169,21.41254918133341,-0.0034253408563941746
170,21.412564245613734,-0.0034246500951711197
171,21.412579401196727,-0.0034239551839677944
172,21.412594648076002,-0.0034232561230949955
173,21.41260998624512,-0.0034225529128653976
174,21.41262541569762,-0.0034218455535929577
175,21.41264093642702,-0.0034211340455927966
176,21.412656548426778,-0.003420418389182115
177,21.412672251690324,-0.003419698584679351
178,21.412688046211066,-0.0034189746324042943
179,21.41270393198237,-0.003418246532678245
